date,ticker,open,high,low,close,adjclose,volume
2022-01-03,AAPL,228.39,233.41,224.29,225.25,222.15,1522752
2022-01-04,AAPL,236.76,241.03,231.73,232.22,236.58,8491983
2022-01-05,AAPL,229.95,231.2,228.68,228.15,228.37,4887505
2022-01-06,AAPL,225.15,229.28,224.2,223.27,222.08,5104629
2022-01-07,AAPL,231.57,232.95,227.99,232.42,228.21,6467903
2022-01-10,AAPL,223.94,224.37,217.56,228.11,230.92,3741523
2022-01-11,AAPL,214.93,219.34,212.09,211.68,211.64,1309496
2022-01-12,AAPL,223.72,225.46,219.28,222.04,222.22,5920392
2022-01-13,AAPL,216.67,222.98,211.63,220.48,223.96,6381099
2022-01-14,AAPL,225.81,226.41,224.49,221.71,220.16,4498095
2022-01-17,AAPL,220.65,226.14,218.29,218.72,219.09,2268318
2022-01-18,AAPL,227.32,227.83,220.59,229.79,227.03,1049699
2022-01-19,AAPL,234.49,239.46,229.36,237.03,233.0,4226191
2022-01-20,AAPL,225.48,231.32,221.27,223.96,220.05,3798840
2022-01-21,AAPL,221.54,226.39,217.3,224.97,224.72,2076348
2022-01-24,AAPL,226.27,231.43,222.46,228.72,228.66,5704595
2022-01-25,AAPL,224.63,224.8,223.9,220.42,221.62,3829203
2022-01-26,AAPL,224.82,230.94,223.14,224.01,226.3,3059183
2022-01-27,AAPL,215.31,217.18,214.27,219.01,221.71,6700633
2022-01-28,AAPL,223.31,228.69,222.06,226.81,227.17,8266961
2022-01-31,AAPL,232.15,234.37,231.38,229.62,228.95,8362132
2022-02-01,AAPL,240.53,240.58,236.84,239.73,237.07,2078788
2022-02-02,AAPL,236.62,243.31,234.32,236.8,238.72,4272666
2022-02-03,AAPL,247.78,254.94,245.91,247.76,245.78,3563564
2022-02-04,AAPL,236.31,240.63,232.74,232.07,230.01,9174392
2022-02-07,AAPL,230.15,231.15,226.77,234.62,232.2,7049219
2022-02-08,AAPL,236.17,237.86,231.01,234.93,236.17,6701767
2022-02-09,AAPL,237.02,237.66,231.08,235.32,232.37,1366976
2022-02-10,AAPL,239.17,244.04,239.05,239.29,236.67,6806555
2022-02-11,AAPL,231.39,236.18,228.7,235.43,232.01,4069597
2022-02-14,AAPL,222.44,228.61,216.59,220.29,221.7,8354999
2022-02-15,AAPL,223.67,227.22,222.05,220.03,223.53,9103762
2022-02-16,AAPL,226.65,228.95,224.27,228.7,232.33,8983777
2022-02-17,AAPL,232.99,237.48,232.4,229.84,233.5,6457861
2022-02-18,AAPL,221.55,222.23,217.14,217.17,214.22,5938604
2022-02-21,AAPL,225.81,230.22,224.29,227.72,225.33,3928597
2022-02-22,AAPL,231.37,235.88,225.48,232.83,233.47,1843072
2022-02-23,AAPL,228.31,230.13,226.64,232.63,231.64,9028418
2022-02-24,AAPL,231.31,236.82,227.82,232.02,231.95,2757186
2022-02-25,AAPL,236.45,238.44,236.28,237.83,234.76,9464127
2022-02-28,AAPL,247.18,253.97,244.44,242.39,246.55,4853657
2022-03-01,AAPL,258.72,266.2,252.1,256.59,255.41,8660230
2022-03-02,AAPL,253.98,255.27,249.74,258.41,260.44,6130550
2022-03-03,AAPL,243.75,248.25,236.51,240.24,240.42,8896357
2022-03-04,AAPL,249.62,254.84,244.36,248.22,246.17,8284250
2022-03-07,AAPL,257.36,264.06,250.31,257.48,257.49,8184656
2022-03-08,AAPL,261.22,266.72,254.98,265.3,263.58,4380246
2022-03-09,AAPL,250.61,254.96,250.34,250.27,250.7,3578871
2022-03-10,AAPL,252.89,253.12,252.61,256.15,254.72,2143544
2022-03-11,AAPL,253.45,259.31,251.81,254.7,250.48,1465135
2022-03-14,AAPL,254.25,258.37,249.39,256.55,261.43,5646703
2022-03-15,AAPL,249.75,255.7,247.72,249.14,244.94,1228156
2022-03-16,AAPL,261.3,267.85,255.85,260.35,256.95,2407933
2022-03-17,AAPL,254.78,258.97,249.31,256.41,254.15,9593787
2022-03-18,AAPL,260.84,265.17,256.05,260.0,257.37,4203754
2022-03-21,AAPL,267.56,267.68,266.63,262.7,257.88,8699145
2022-03-22,AAPL,273.01,276.89,272.21,272.92,272.63,2558816
2022-03-23,AAPL,271.21,274.45,266.19,272.67,267.71,4371513
2022-03-24,AAPL,274.62,278.76,267.56,276.36,272.64,1635118
2022-03-25,AAPL,278.53,278.75,273.63,283.43,284.29,4493529
2022-03-28,AAPL,282.52,286.4,277.9,287.51,286.2,9650715
2022-03-29,AAPL,293.97,295.7,293.36,289.28,283.7,1849986
2022-03-30,AAPL,299.35,299.99,296.49,303.48,297.69,8330216
2022-03-31,AAPL,292.82,293.86,286.7,294.33,298.78,7615639
2022-04-01,AAPL,301.71,304.26,300.1,304.73,308.47,9914546
2022-04-04,AAPL,299.07,302.41,292.11,297.17,302.29,8725714
2022-04-05,AAPL,296.95,303.64,290.23,292.23,296.94,5547271
2022-04-06,AAPL,306.64,309.59,298.4,305.28,299.31,9148437
2022-04-07,AAPL,294.11,296.93,285.73,299.41,300.29,6686534
2022-04-08,AAPL,292.59,295.17,289.71,294.61,297.59,8124211
2022-04-11,AAPL,301.07,301.89,296.6,295.74,296.33,4973774
2022-04-12,AAPL,312.74,316.03,311.64,308.27,311.5,6563962
2022-04-13,AAPL,300.27,301.02,293.95,295.13,298.93,7356180
2022-04-14,AAPL,287.7,288.43,279.18,286.25,284.77,8315196
2022-04-15,AAPL,300.56,309.45,293.77,299.07,294.09,7994322
2022-04-18,AAPL,302.32,306.17,294.1,297.62,297.53,1102182
2022-04-19,AAPL,301.37,301.88,300.3,296.76,298.53,7714403
2022-04-20,AAPL,303.88,312.65,300.47,301.28,305.72,3012362
2022-04-21,AAPL,317.96,318.08,308.71,312.15,317.03,5749309
2022-04-22,AAPL,333.63,334.37,328.09,339.9,340.21,6664587
2022-04-25,AAPL,340.16,344.8,333.76,341.31,346.79,1409017
2022-04-26,AAPL,332.71,342.2,323.83,332.12,333.72,3496430
2022-04-27,AAPL,322.34,326.82,318.92,323.42,317.95,9769553
2022-04-28,AAPL,338.01,345.09,332.57,335.43,339.64,7162580
2022-04-29,AAPL,326.61,335.53,318.55,332.48,335.48,6520736
2022-05-02,AAPL,323.94,333.0,315.52,318.04,312.02,4388170
2022-05-03,AAPL,334.0,343.89,332.49,335.25,333.66,9729229
2022-05-04,AAPL,345.42,354.11,340.56,344.24,341.12,1507379
2022-05-05,AAPL,358.02,366.75,347.28,365.13,365.94,7920886
2022-05-06,AAPL,373.94,383.48,371.17,373.2,367.67,9586459
2022-05-09,AAPL,377.91,380.51,370.3,379.7,377.55,2022018
2022-05-10,AAPL,384.4,390.4,375.49,384.71,390.13,5967161
2022-05-11,AAPL,386.74,396.91,382.06,381.08,373.9,7796235
2022-05-12,AAPL,391.39,399.66,388.89,385.7,378.21,4155288
2022-05-13,AAPL,394.91,399.56,389.73,401.3,398.86,5625905
2022-05-16,AAPL,406.11,410.95,398.54,412.0,419.41,2323661
2022-05-17,AAPL,423.44,429.69,420.16,422.75,430.86,5433562
2022-05-18,AAPL,416.19,424.1,413.19,409.13,403.05,2152412
2022-05-19,AAPL,401.7,403.37,393.98,396.59,394.14,9071095
2022-05-20,AAPL,400.65,408.68,398.58,395.72,388.46,2520415
2022-05-23,AAPL,391.78,393.86,390.74,385.84,385.23,2857003
2022-05-24,AAPL,386.47,392.3,378.46,379.34,383.89,6651103
2022-05-25,AAPL,370.3,380.01,360.07,363.8,360.55,8255811
2022-05-26,AAPL,379.5,381.6,377.11,377.53,377.3,6564292
2022-05-27,AAPL,374.52,379.72,366.12,367.58,363.94,7420146
2022-05-30,AAPL,389.32,395.3,383.11,383.2,382.4,5793555
2022-05-31,AAPL,379.3,382.36,375.0,372.01,369.37,2903032
2022-06-01,AAPL,372.75,374.09,362.79,374.15,376.83,8102541
2022-06-02,AAPL,372.69,373.67,366.69,373.99,377.66,4884935
2022-06-03,AAPL,358.81,361.87,354.91,360.91,361.93,4204870
2022-06-06,AAPL,376.27,383.11,373.59,370.28,365.14,3213619
2022-06-07,AAPL,363.5,365.54,360.39,358.75,364.45,1722103
2022-06-08,AAPL,364.39,368.88,353.66,358.74,357.27,9725233
2022-06-09,AAPL,377.71,386.97,374.79,372.74,375.26,9364383
2022-06-10,AAPL,379.86,386.37,376.67,383.95,379.15,3913113
2022-06-13,AAPL,377.03,382.77,374.28,371.22,372.86,3597674
2022-06-14,AAPL,380.09,381.85,374.6,380.58,373.76,4029438
2022-06-15,AAPL,366.19,366.89,355.32,363.59,368.1,3291765
2022-06-16,AAPL,372.84,381.34,366.18,372.42,371.1,4139814
2022-06-17,AAPL,388.85,398.54,377.6,383.01,386.55,9445064
2022-06-20,AAPL,376.46,377.21,368.09,377.58,382.74,2257951
2022-06-21,AAPL,387.57,389.92,385.67,382.37,387.18,6986774
2022-06-22,AAPL,388.47,392.65,378.25,386.8,391.7,4952214
2022-06-23,AAPL,383.69,389.01,380.22,387.49,387.53,3089914
2022-06-24,AAPL,399.02,403.61,392.51,405.51,407.52,2052082
2022-06-27,AAPL,416.57,424.41,412.38,410.56,415.39,6580654
